OBJECTID,OBJECTID_1,UWI,Source,API_Number,IC_Number,Operator_Name,Current_Operator_Name,Lease_Name,Well_Num,Field_Name,State_Name,County_Name,OS_Indicator,Hole_Direction,Well_Status,Current_Status,Geologic_Province_Name,Play_Name,Play_Type,Permit_Number,Permit_Date,Depth_Total_Driller,Depth_Total_Logger,Depth_True_Vertical,Depth_Whipstock,Class_Initial_Name,Class_Initial_Code,Class_Final_Name,Class_Final_Code,Status_Final_Code,Formation_Projected_Name,Depth_Total_Projected,Top_Source,Interpreter,Formation_at_TD_Name,Formation_Producing_Name,Elevation_Reference_Value,Elevation_Reference_Datum,Ground_Elevation,Date_First_Spud,Date_Spud,Date_Completion,Date_Rig_Release,Date_Abandonment,Date_First_Report,Date_Last_Activity,Depth_Water_Value,Depth_Water_Datum,Surface_Latitude,Surface_Longitude,Surface_LL_Source,Proposed_BH_Latitude,Proposed_BH_Longitude,Proposed_BH_LL_Source,BH_Latitude,BH_Longitude,BH_LL_Source,Activity_Code,Permit_Filer_Long,Permit_Phone,BH_lat,BH_long
1,129937,35049000340000.000000000000000,PI,35049000340000.000000000000000,,DAVON OIL CO,DAVON OIL COMPANY,LEE LAYTON,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,,SO OKLA FOLDED BELT,,,,12/22/1948 00:00:00,7427.000000000000000,7430,,,WILDCAT OUTPOST,WO,NEW POOL WILDCAT-DISCOVERY,WPD,1,,,PI,,CANEY,HART /GOLDEN TREND/,1137.000000000000000,DF,,,1/1/1949 00:00:00,2/11/1949 00:00:00,,,2/15/1949 00:00:00,10/15/2014 00:00:00,,,34.681878900000001,-97.462919700000000,IH,,,,,,,D,,,,
2,129950,35049000460000.000000000000000,PI,35049000460000.000000000000000,,STANOLND OIL CO,STANOLIND OIL,POTTS,1,UNNAMED,OKLAHOMA,GARVIN,,VERTICAL,D&A-OG,,SO OKLA FOLDED BELT,,,,9/20/1956 00:00:00,12015.000000000000000,,,,NEW POOL WILDCAT,WP,NEW POOL WILDCAT-DRY (INCLUDING TEMPORARILY ABANDONED WELL),WP,0,OIL CREEK LOWER,11500.000000000000000,PI,,OIL CREEK LOWER,,1068.000000000000000,KB,1054.000000000000000,,9/30/1956 00:00:00,3/1/1957 00:00:00,,,3/15/1957 00:00:00,10/15/2014 00:00:00,,,34.599453699999998,-97.481597800000003,IH,,,,,,,D,,,,
3,129962,35049000610000.000000000000000,PI,35049000610000.000000000000000,,PARKER G C,MERIT ENERGY COMPANY,CANTRELL,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,4/14/1955 00:00:00,9025.000000000000000,9013,,,WILDCAT OUTPOST,WO,SUCCESSFUL OUTPOST EXTENSION,WOE,1,,8900.000000000000000,PI,,HART LOWER /GOLDEN TREND/,HART UPPER /GOLDEN TREND,1153.000000000000000,DF,1143.000000000000000,,4/24/1955 00:00:00,7/6/1955 00:00:00,,4/26/1976 00:00:00,7/15/1955 00:00:00,7/21/2014 00:00:00,,,34.726538300000001,-97.591214800000003,IH,,,,,,,D,,,,
4,129974,35049000740000.000000000000000,PI,35049000740000.000000000000000,,HUMPHREY OIL & DEV,ANSON CORPORATION,O L LEDGERWOOD,1,MAYSVILLE EAST,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,11/17/1955 00:00:00,7484.000000000000000,,,,NEW POOL WILDCAT,WP,NEW POOL WILDCAT-DISCOVERY,WPD,1,UNKNOWN,,PI,,BROMIDE,BROMIDE 1,965.000000000000000,KB,956.000000000000000,,11/27/1955 00:00:00,2/29/1956 00:00:00,,10/18/1970 00:00:00,2/15/1956 00:00:00,2/11/2015 00:00:00,,,34.823383200000002,-97.439263400000002,IH,,,,,,,D,,,,
5,129975,35049000740001.000000000000000,PI,35049000740001.000000000000000,,AN-SON CORPORATION,ANSON CORPORATION,LEDGERWOOD,1-A,MAYSVILLE EAST,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,12/22/1955 00:00:00,7484.000000000000000,,,,NEW POOL WILDCAT RECOMPLETION,WPX,NEW POOL WILDCAT-DISCOVERY,WPD,1,,,,,BROMIDE,VIOLA,965.000000000000000,KB,956.000000000000000,,1/1/1956 00:00:00,8/22/1956 00:00:00,,10/18/1970 00:00:00,8/15/1956 00:00:00,6/25/2015 00:00:00,,,34.823383200000002,-97.439263400000002,IH,,,,,,,D,,,,
6,129976,35049000740002.000000000000000,PI,35049000740002.000000000000000,,AN-SON CORPORATION,ANSON CORPORATION,LEDGERWOOD A,1,MAYSVILLE EAST,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,12/22/1957 00:00:00,7484.000000000000000,,,,NEW POOL WILDCAT RECOMPLETION,WPX,NEW POOL WILDCAT-DISCOVERY,WPD,1,,,,,BROMIDE,GIBSON,965.000000000000000,KB,956.000000000000000,,1/1/1958 00:00:00,10/14/1958 00:00:00,,10/18/1970 00:00:00,10/15/1958 00:00:00,6/25/2015 00:00:00,,,34.823383200000002,-97.439263400000002,IH,,,,,,,D,,,,
7,129977,35049000750000.000000000000000,PI,35049000750000.000000000000000,,SUPERIOR OIL CO ETAL,ALPINE OIL & GAS INCORPORATED,GLOVER,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,P,SO OKLA FOLDED BELT,,,,8/28/1955 00:00:00,8527.000000000000000,8523,,,NEW FIELD WILDCAT,WF,NEW FIELD WILDCAT-DISCOVERY,WFD,1,UNKNOWN,,PI,,OIL CREEK,BROMIDE,955.000000000000000,KB,940.000000000000000,,9/7/1955 00:00:00,11/16/1955 00:00:00,,1/3/1992 00:00:00,11/15/1955 00:00:00,1/20/2015 00:00:00,,,34.837963199999997,-97.441496200000003,IH,,,,,,,D,,,,
8,129978,35049000750001.000000000000000,PI,35049000750001.000000000000000,,SUPERIOR OIL CO ETAL,SUPERIOR OIL COMPANY THE,GLOVER,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,,SO OKLA FOLDED BELT,,,,12/22/1956 00:00:00,8527.000000000000000,,,,DEVELOPMENT RECOMPLETION,D X,DEVELOPMENT WELL-OIL,DO,1,,,PI,,OIL CREEK,BROMIDE,955.000000000000000,KB,940.000000000000000,,1/1/1957 00:00:00,1/24/1957 00:00:00,,1/3/1992 00:00:00,4/3/1997 00:00:00,6/25/2015 00:00:00,,,34.837963199999997,-97.441496200000003,IH,,,,,,,D,,,,
9,129979,35049000750002.000000000000000,PI,35049000750002.000000000000000,,SUPERIOR OIL CO ETAL,SUPERIOR OIL COMPANY THE,GLOVER,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,ABD-OW,,SO OKLA FOLDED BELT,,,,12/22/1957 00:00:00,8527.000000000000000,,,,DEVELOPMENT RECOMPLETION,D X,DEVELOPMENT WELL-OIL,DO,4,,,PI,,OIL CREEK,BROMIDE,955.000000000000000,KB,940.000000000000000,,1/1/1958 00:00:00,6/28/1958 00:00:00,,1/3/1992 00:00:00,4/3/1997 00:00:00,6/25/2015 00:00:00,,,34.837963199999997,-97.441496200000003,IH,,,,,,,D,,,,
10,129984,35049000800000.000000000000000,PI,35049000800000.000000000000000,,OHIO OIL CO THE,DALE GEORGE,LEFLORE W P,1,GOLDEN TREND,OKLAHOMA,GARVIN,,VERTICAL,OIL,A,SO OKLA FOLDED BELT,,,,12/2/1955 00:00:00,7769.000000000000000,7767,,,NEW POOL WILDCAT,WP,NEW POOL WILDCAT-DISCOVERY,WPD,1,UNKNOWN,,PI,,SPRINGER,GIBSON,1048.000000000000000,KB,,,12/12/1955 00:00:00,2/1/1956 00:00:00,,,2/15/1956 00:00:00,10/13/2014 00:00:00,,,34.591980599999999,-97.420109600000004,IH,,,,,,,D,,,,
